grain_ID,grain_R,grain_asp_small,grain_asp,KDE_radius,KDE_radius frequency,KDE_grainasp,KDE_asp,Volume
12728,19.94711402,0.510872551,1.957435369,,,,,0
12729,3.989422804,0.553083809,1.80804425,,,,,0
12730,26.61276943,0.608115285,1.644425037,,,,,0
12731,13.23141857,0.518167031,1.929879633,,,,,0
12732,18.81806973,0.751315951,1.330997962,,,,,0
12733,18.49819255,0.856642294,1.167348387,,,,,0
12734,10.64609475,0.518872493,1.92725576,,,,,0
12735,13.81976598,0.479888152,2.083818898,,,,,0
12736,30.51321709,0.950388014,1.052201822,,,,,0
12737,21.85096861,0.686869144,1.455881384,,,,,0
12738,25.23132522,0.95560182,1.046460962,,,,,0
12739,35.12051835,0.433552714,2.306524602,,,,,0
12740,31.09447345,0.615596203,1.624441467,,,,,0
12741,28.76813696,0.445250111,2.245928692,,,,,0
12742,18.71205159,0.630204911,1.586785477,,,,,0
12743,10.55502061,0.684758799,1.460368237,,,,,0
12744,35.3463761,0.766546651,1.304552044,,,,,0
12745,12.9907965,0.561051691,1.782366966,,,,,0
12746,16.68895295,0.856942411,1.16693956,,,,,0
12747,12.92720736,0.817092918,1.223851018,,,,,0
12748,28.90611443,0.942497995,1.061010215,,,,,0
12749,10.55502061,0.582732217,1.716054082,,,,,0
12750,28.90611443,0.720289049,1.388331533,,,,,0
12751,10.55502061,0.561066215,1.782320826,,,,,0
12752,20.92070968,0.747809443,1.337239065,,,,,0
12753,20.72964897,0.633478338,1.578585944,,,,,0
12754,35.73819271,0.71480884,1.398975424,,,,,0
12755,29.85410661,0.762791912,1.310973523,,,,,0
12756,49.90766333,0.784280495,1.275054022,,,,,0
12757,16.20511204,0.977405331,1.02311699,,,,,0
12758,17.6168141,0.76015137,1.315527458,,,,,0
12759,28.35017571,0.461950156,2.164735714,,,,,0
12760,31.94653459,0.741889678,1.347909304,,,,,0
12761,31.91538243,0.884257586,1.130892193,,,,,0
12762,18.06287998,0.828449724,1.207073853,,,,,0
12763,18.71205159,0.840638285,1.189572279,,,,,0
12764,20.53681083,0.834747438,1.197967139,,,,,0
12765,11.96826841,0.758392235,1.318578901,,,,,0
12766,6.909882989,0.458211433,2.182398621,,,,,0
12767,19.33944457,0.836746082,1.195105685,,,,,0
12768,40.34054156,0.449054683,2.226900283,,,,,0
12769,20.92070968,0.783123784,1.276937338,,,,,0
12770,8.462843753,0.421835985,2.370589605,,,,,0
12771,14.9270533,0.799014112,1.251542351,,,,,0
12772,23.09045386,0.79964454,1.250555653,,,,,0
12773,45.66103103,0.898382502,1.113111618,,,,,0
12774,8.920620581,0.767098554,1.303613461,,,,,0
12775,55.1168756,0.403717629,2.476978778,,,,,0
12776,7.463526652,0.645458689,1.549285829,,,,,0
12777,26.91012804,0.753823737,1.32657006,,,,,0
12778,10.92548431,0.712668707,1.403176524,,,,,0
